run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,pipeline_profile,authoritative_metric,profile_compatibility_status,objective_mode,target_class,attack_roi,attack_artifact,placement_mode,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
patchmatrix__yolov8n_patch_v2__largest_person_torso__bit_depth,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__largest_person_torso__bit_depth,yolo,pretrained_patch,bit_depth,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8507328629493713,missing,,,,
patchmatrix__yolov8n_patch_v2__largest_person_torso__blind_patch_recover,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__largest_person_torso__blind_patch_recover,yolo,pretrained_patch,blind_patch_recover,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8570351600646973,missing,,,,
patchmatrix__yolov8n_patch_v2__largest_person_torso__c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__largest_person_torso__c_dog,yolo,pretrained_patch,c_dog,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8459399938583374,missing,,,,
patchmatrix__yolov8n_patch_v2__largest_person_torso__jpeg_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__largest_person_torso__jpeg_preprocess,yolo,pretrained_patch,jpeg_preprocess,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8490427136421204,missing,,,,
patchmatrix__yolov8n_patch_v2__largest_person_torso__median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__largest_person_torso__median_preprocess,yolo,pretrained_patch,median_preprocess,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8120814561843872,missing,,,,
patchmatrix__yolov8n_patch_v2__largest_person_torso__none,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__largest_person_torso__none,yolo,pretrained_patch,none,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8524304926395416,missing,,,,
patchmatrix__yolov8n_patch_v2__largest_person_torso__oracle_patch_recover,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__largest_person_torso__oracle_patch_recover,yolo,pretrained_patch,oracle_patch_recover,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.857022225856781,missing,,,,
patchmatrix__yolov8n_patch_v2__off_object_fixed__bit_depth,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__off_object_fixed__bit_depth,yolo,pretrained_patch,bit_depth,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,3,0.8133860031763712,missing,,,,
patchmatrix__yolov8n_patch_v2__off_object_fixed__blind_patch_recover,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__off_object_fixed__blind_patch_recover,yolo,pretrained_patch,blind_patch_recover,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,3,0.8148155212402344,missing,,,,
patchmatrix__yolov8n_patch_v2__off_object_fixed__c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__off_object_fixed__c_dog,yolo,pretrained_patch,c_dog,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,3,0.8249352971712748,missing,,,,
patchmatrix__yolov8n_patch_v2__off_object_fixed__jpeg_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__off_object_fixed__jpeg_preprocess,yolo,pretrained_patch,jpeg_preprocess,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,4,0.747455283999443,missing,,,,
patchmatrix__yolov8n_patch_v2__off_object_fixed__median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__off_object_fixed__median_preprocess,yolo,pretrained_patch,median_preprocess,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,4,0.7607240527868271,missing,,,,
patchmatrix__yolov8n_patch_v2__off_object_fixed__none,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__off_object_fixed__none,yolo,pretrained_patch,none,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,4,0.7395548671483994,missing,,,,
patchmatrix__yolov8n_patch_v2__off_object_fixed__oracle_patch_recover,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__yolov8n_patch_v2__off_object_fixed__oracle_patch_recover,yolo,pretrained_patch,oracle_patch_recover,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,3,0.8149558901786804,missing,,,,
